company_name,status,fundation_year,age_years,internet_score,count_employee,last_funding_amount,number_investors_seed,number_investors_angel_VC,number_cofounders,number_advisors,team_size_senior_lead,team_size_all_employees,number_repeat_investors,years_education,renowned_professional_circle,number_recognitions_for_founders_cofounders,skills_score,google_page_rank_company_web,industry_trend_investing,number_direct_competitors,employees_per_year_existence,last_round_fundind_millionUSD,months_to_1st_investment,avg_time_to_investment,perc_skill_entrepreneur,perc_skill_operations,perc_skill_engineering,perc_skill_marketing,perc_skill_leadership,perc_skill_datascience,perc_skill_business_strategy,perc_skill_product_manag,perc_skill_sales,perc_skill_domain,perc_skill_law,perc_skill_consulting,perc_skill_finance,perc_skill_investment,renown_score,days_since_est_funding_date,days_since_last_funding_date,industry,focus_functions,has_team_size_grown,country,continent,presence_angel_venture_fund,number_sales_support_material,worked_top_company,avg_size_companies_worked_for_past,part_of_startups_past,part_of_success_startups_past,partner_big5_consulting,consulting_experience,product_or_service_company,catering_product_service_across_verticals,focus_private_or_public_data,focus_consumer_data,focus_structured_unstructured_data,subscription_based,cloud_or_platform_based,local_or_global_player,linear_nonlinear_business,capital_intensive,crowdsourcing_business,crowdfunding_business,ML_business,predictive_analytics_business,speech_analytics_business,prescriptive_analytics_business,big_data_business,cross_channel_analytics_or_marketing,owns_data,aggregator_or_market_place,online_or_offline_business,B2C_or_B2B,top_forums_talking_about_company,avg_years_experience for founder and co founder,exposure_across_globe,breadth_experience_across_verticals,highest_education,specialization_highest_education,relevance_education_venture,relevance_experience_venture,degree_tier1_tier2_university,experience_selling_building_products,experience_fortune_100_organizations,experience_fortune_500_organizations,experience_fortune_1000_organizations,top_management_similarity,team_composition_score,difficulty_obtain_workforce,pricing_strategy,hyper_localisation,time_market_service_product,employee_benefits_salary_structures,long_term_relation_other_founders,proprietary_patent_position,barriers_entry_competitors,company_awards,controversial_history_founder_cofounder,legal_risk_intell_property,client_reputation,technical_skills_analyse_unstructured_data,solutions_offered,invested_through_global_incubation_competitions,disruptiveness_technology,survival_through_recession,gartner_hype_cycle_stage,time_maturity_technology
Company1,1.0,2009.3946731234867,4.605326876513317,190.88737201365188,3.0,450000.0,2.0,0.0,1.0,2.0,2.0,15.0,4.0,21.0,500.0,0.0,0.0,9626884.0,2.0,0.0,1.5,0.45,14.606382978723405,11.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3982.6005509641873,2593.0,0.2627118644067797,0.05296610169491525,0.5635593220338984,0.6461864406779662,0.652542372881356,0.19703389830508475,0.1716101694915254,0.8050847457627118,0.4830508474576271,0.326271186440678,0.4110169491525424,0.9067796610169492,0.5190677966101694,0.4894067796610169,0.4894067796610169,0.3432203389830508,0.5953389830508474,0.2542372881355932,0.565677966101695,0.6271186440677966,0.5021186440677966,0.2838983050847458,0.25,0.9258474576271186,0.9427966101694916,0.7139830508474576,0.6694915254237288,0.923728813559322,0.6800847457627118,0.5317796610169492,0.836864406779661,0.8707627118644068,0.2266949152542373,0.8686440677966102,0.3432203389830508,0.059322033898305086,0.5741525423728814,0.5211864406779662,0.3771186440677966,0.3516949152542373,0.046610169491525424,0.5953389830508474,0.6377118644067796,0.2944915254237288,0.3114406779661017,0.6038135593220338,0.6122881355932204,0.6461864406779662,0.597457627118644,0.3919491525423729,0.3771186440677966,0.4025423728813559,0.6991525423728814,0.036016949152542374,0.7436440677966102,0.586864406779661,0.6228813559322034,0.5338983050847458,0.6588983050847458,0.8050847457627118,0.6970338983050848,0.5805084745762712,0.4576271186440678,0.461864406779661,0.6038135593220338,0.19703389830508475,0.2076271186440678,0.3644067796610169,0.3644067796610169
Company2,1.0,2011.0,3.0,125.0,31.408496732026144,6379489.435897436,5.0,0.0,2.0,0.0,4.0,20.0,0.0,21.0,500.0,13.0,34.0,1067034.0,3.0,0.0,6.666666667,5.0,10.0,9.0,15.88235294,11.76470588,15.0,12.94117647,0.0,8.823529412,21.76470588,10.88235294,2.941176471,0.0,0.0,0.0,0.0,0.0,8.0,3982.6005509641873,3123.5714285714284,0.3877118644067797,0.3326271186440678,0.5635593220338984,0.6461864406779662,0.652542372881356,0.597457627118644,0.2542372881355932,0.15466101694915255,0.17584745762711865,0.6313559322033898,0.5466101694915254,0.9067796610169492,0.5190677966101694,0.4385593220338983,0.4894067796610169,0.2542372881355932,0.3855932203389831,0.2542372881355932,0.4067796610169492,0.6271186440677966,0.4470338983050847,0.6779661016949152,0.6949152542372882,0.0635593220338983,0.9427966101694916,0.2733050847457627,0.3199152542372881,0.923728813559322,0.6800847457627118,0.4576271186440678,0.15254237288135594,0.11016949152542373,0.7097457627118644,0.8686440677966102,0.3432203389830508,0.5148305084745762,0.5741525423728814,0.5211864406779662,0.07838983050847458,0.3516949152542373,0.298728813559322,0.5953389830508474,0.6377118644067796,0.2944915254237288,0.2690677966101695,0.6038135593220338,0.6122881355932204,0.6461864406779662,0.1864406779661017,0.17372881355932204,0.3177966101694915,0.4025423728813559,0.6991525423728814,0.5360169491525424,0.7436440677966102,0.586864406779661,0.19491525423728814,0.5338983050847458,0.6588983050847458,0.8050847457627118,0.1228813559322034,0.04449152542372881,0.3665254237288136,0.461864406779661,0.6038135593220338,0.4004237288135593,0.5677966101694916,0.09957627118644068,0.3813559322033898
Company3,1.0,2011.0,3.0,455.0,14.0,2350000.0,15.0,0.0,3.0,0.0,7.0,10.0,0.0,18.0,500.0,18.0,36.0,71391.0,3.0,0.0,3.333333333,2.35,2.0,7.344444444,9.401709402,0.0,57.47863248,0.0,0.0,3.846153846,17.09401709,9.401709402,0.0,2.777777778,0.0,0.0,0.0,0.0,9.0,3135.0,2443.0,0.3877118644067797,0.036016949152542374,0.5635593220338984,0.6461864406779662,0.652542372881356,0.597457627118644,0.3177966101694915,0.15466101694915255,0.2754237288135593,0.326271186440678,0.4110169491525424,0.9067796610169492,0.5190677966101694,0.05084745762711865,0.4872881355932203,0.3432203389830508,0.3855932203389831,0.2542372881355932,0.565677966101695,0.13771186440677965,0.4470338983050847,0.6779661016949152,0.6949152542372882,0.9258474576271186,0.9427966101694916,0.7139830508474576,0.3199152542372881,0.923728813559322,0.6800847457627118,0.4576271186440678,0.836864406779661,0.8707627118644068,0.7097457627118644,0.8686440677966102,0.6504237288135594,0.5148305084745762,0.2288135593220339,0.5211864406779662,0.3771186440677966,0.3580508474576271,0.00847457627118644,0.5953389830508474,0.6377118644067796,0.1228813559322034,0.2690677966101695,0.6038135593220338,0.6122881355932204,0.18008474576271186,0.1864406779661017,0.17372881355932204,0.3177966101694915,0.4025423728813559,0.6991525423728814,0.5360169491525424,0.7436440677966102,0.2245762711864407,0.19491525423728814,0.5338983050847458,0.6588983050847458,0.8050847457627118,0.6970338983050848,0.2521186440677966,0.3665254237288136,0.461864406779661,0.10805084745762712,0.4004237288135593,0.5677966101694916,0.09957627118644068,0.3813559322033898
Company4,1.0,2009.0,5.0,190.88737201365188,45.0,10250000.0,6.0,0.0,2.0,0.0,4.0,50.0,0.0,18.0,469.0551181102362,2.0,15.5,11847.0,4.0,2.0,10.0,10.25,1.0,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4029.0,2974.0,0.01059322033898305,0.01059322033898305,0.5635593220338984,0.6461864406779662,0.652542372881356,0.19703389830508475,0.3177966101694915,0.8050847457627118,0.17584745762711865,0.6313559322033898,0.5466101694915254,0.9067796610169492,0.5190677966101694,0.4385593220338983,0.4872881355932203,0.2542372881355932,0.3855932203389831,0.3516949152542373,0.565677966101695,0.6271186440677966,0.4470338983050847,0.6779661016949152,0.6949152542372882,0.0635593220338983,0.9427966101694916,0.7139830508474576,0.6694915254237288,0.923728813559322,0.6800847457627118,0.5317796610169492,0.836864406779661,0.8707627118644068,0.7097457627118644,0.8686440677966102,0.3432203389830508,0.1652542372881356,0.2288135593220339,0.5211864406779662,0.3771186440677966,0.3580508474576271,0.298728813559322,0.5953389830508474,0.6377118644067796,0.1228813559322034,0.17372881355932204,0.6038135593220338,0.6122881355932204,0.6461864406779662,0.1864406779661017,0.2563559322033898,0.3177966101694915,0.4025423728813559,0.6991525423728814,0.5360169491525424,0.06991525423728813,0.586864406779661,0.19491525423728814,0.5338983050847458,0.6588983050847458,0.8050847457627118,0.6970338983050848,0.2521186440677966,0.4576271186440678,0.461864406779661,0.10805084745762712,0.4004237288135593,0.5677966101694916,0.09957627118644068,0.3813559322033898
Company5,1.0,2010.0,4.0,496.0,39.0,5500000.0,7.0,0.0,1.0,1.0,8.0,40.0,0.0,18.0,500.0,5.0,23.0,201814.0,3.0,0.0,10.0,5.5,13.0,9.822222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3744.0,2394.0,0.3877118644067797,0.01059322033898305,0.5635593220338984,0.6461864406779662,0.652542372881356,0.597457627118644,0.15254237288135594,0.8050847457627118,0.4830508474576271,0.326271186440678,0.4110169491525424,0.9067796610169492,0.5190677966101694,0.4385593220338983,0.4872881355932203,0.2542372881355932,0.3855932203389831,0.2542372881355932,0.4067796610169492,0.6271186440677966,0.4470338983050847,0.6779661016949152,0.25,0.9258474576271186,0.9427966101694916,0.7139830508474576,0.6694915254237288,0.923728813559322,0.6800847457627118,0.4576271186440678,0.836864406779661,0.8707627118644068,0.7097457627118644,0.8686440677966102,0.6504237288135594,0.5148305084745762,0.5741525423728814,0.5211864406779662,0.3644067796610169,0.3580508474576271,0.298728813559322,0.5953389830508474,0.6377118644067796,0.4915254237288136,0.2690677966101695,0.6038135593220338,0.6122881355932204,0.6461864406779662,0.09957627118644068,0.2563559322033898,0.3177966101694915,0.4025423728813559,0.6991525423728814,0.5360169491525424,0.08898305084745763,0.2245762711864407,0.19491525423728814,0.5338983050847458,0.6588983050847458,0.8050847457627118,0.6970338983050848,0.2521186440677966,0.3665254237288136,0.461864406779661,0.6038135593220338,0.4004237288135593,0.5677966101694916,0.3644067796610169,0.3644067796610169
Company6,1.0,2010.0,4.0,106.0,14.0,1000000.0,2.0,0.0,4.0,0.0,4.0,14.0,2.0,21.0,500.0,5.0,25.0,591816.0,4.0,0.0,3.5,1.0,12.0,9.322222222,6.25,0.0,3.125,15.625,9.375,3.125,6.25,3.125,3.125,0.0,0.0,0.0,0.0,0.0,6.0,3714.0,2479.0,0.3877118644067797,0.057203389830508475,0.5635593220338984,0.6461864406779662,0.652542372881356,0.597457627118644,0.2542372881355932,0.8050847457627118,0.2754237288135593,0.326271186440678,0.4110169491525424,0.9067796610169492,0.5190677966101694,0.4894067796610169,0.4894067796610169,0.2542372881355932,0.3855932203389831,0.2542372881355932,0.4067796610169492,0.6271186440677966,0.4470338983050847,0.6779661016949152,0.6949152542372882,0.9258474576271186,0.9427966101694916,0.7139830508474576,0.6694915254237288,0.923728813559322,0.6800847457627118,0.4576271186440678,0.836864406779661,0.11016949152542373,0.7097457627118644,0.8686440677966102,0.6504237288135594,0.5148305084745762,0.5741525423728814,0.5211864406779662,0.3644067796610169,0.3516949152542373,0.298728813559322,0.2033898305084746,0.17796610169491525,0.4915254237288136,0.17372881355932204,0.6038135593220338,0.6122881355932204,0.6461864406779662,0.09957627118644068,0.2563559322033898,0.3177966101694915,0.4025423728813559,0.6991525423728814,0.5360169491525424,0.06991525423728813,0.586864406779661,0.19491525423728814,0.4661016949152542,0.16101694915254236,0.8050847457627118,0.6970338983050848,0.1228813559322034,0.3665254237288136,0.461864406779661,0.10805084745762712,0.2288135593220339,0.5677966101694916,0.1419491525423729,0.3813559322033898
Company7,1.0,2011.0,3.0,39.0,7.0,2000000.0,7.0,0.0,2.0,9.0,2.0,15.0,4.0,25.0,469.0551181102362,1.0,21.0,2345574.0,3.0,0.0,5.0,2.0,11.0,7.311111111,0.0,0.0,66.66666667,5.555555556,0.0,22.22222222,0.0,0.0,0.0,5.555555556,0.0,0.0,0.0,0.0,0.0,3469.0,2493.0,0.11228813559322035,0.012711864406779662,0.5635593220338984,0.6461864406779662,0.652542372881356,0.597457627118644,0.2542372881355932,0.8050847457627118,0.4830508474576271,0.6313559322033898,0.5466101694915254,0.9067796610169492,0.5190677966101694,0.05084745762711865,0.4872881355932203,0.2542372881355932,0.3855932203389831,0.15254237288135594,0.565677966101695,0.6271186440677966,0.4470338983050847,0.6779661016949152,0.6949152542372882,0.9258474576271186,0.9427966101694916,0.7139830508474576,0.3199152542372881,0.923728813559322,0.6800847457627118,0.4576271186440678,0.836864406779661,0.8707627118644068,0.7097457627118644,0.8686440677966102,0.6504237288135594,0.5148305084745762,0.5741525423728814,0.5211864406779662,0.3644067796610169,0.07203389830508475,0.298728813559322,0.5953389830508474,0.6377118644067796,0.4915254237288136,0.17372881355932204,0.6038135593220338,0.6122881355932204,0.6461864406779662,0.09957627118644068,0.2563559322033898,0.3177966101694915,0.4025423728813559,0.6991525423728814,0.2521186440677966,0.7436440677966102,0.586864406779661,0.6228813559322034,0.5338983050847458,0.6588983050847458,0.8050847457627118,0.1228813559322034,0.2521186440677966,0.3665254237288136,0.461864406779661,0.6038135593220338,0.4004237288135593,0.5677966101694916,0.1419491525423729,0.3813559322033898
Company8,1.0,2010.0,4.0,139.0,29.0,6700000.0,0.0,0.0,3.0,4.0,4.0,40.0,0.0,21.0,500.0,5.0,4.5,1015027.0,3.0,0.0,10.0,6.7,20.0,6.4,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3834.0,2792.0,0.3877118644067797,0.3326271186440678,0.5635593220338984,0.6461864406779662,0.652542372881356,0.597457627118644,0.2542372881355932,0.8050847457627118,0.17584745762711865,0.6313559322033898,0.5466101694915254,0.9067796610169492,0.5190677966101694,0.05084745762711865,0.4872881355932203,0.3432203389830508,0.5953389830508474,0.2542372881355932,0.4067796610169492,0.6271186440677966,0.4470338983050847,0.6779661016949152,0.6949152542372882,0.9258474576271186,0.9427966101694916,0.7139830508474576,0.3199152542372881,0.923728813559322,0.2457627118644068,0.4576271186440678,0.836864406779661,0.8707627118644068,0.7097457627118644,0.8686440677966102,0.6504237288135594,0.1652542372881356,0.5741525423728814,0.5211864406779662,0.3644067796610169,0.3516949152542373,0.0211864406779661,0.5953389830508474,0.6377118644067796,0.2944915254237288,0.3114406779661017,0.6038135593220338,0.6122881355932204,0.6461864406779662,0.11652542372881355,0.2563559322033898,0.3177966101694915,0.4025423728813559,0.6991525423728814,0.5360169491525424,0.08898305084745763,0.586864406779661,0.6228813559322034,0.5338983050847458,0.6588983050847458,0.8050847457627118,0.6970338983050848,0.2521186440677966,0.3665254237288136,0.461864406779661,0.6038135593220338,0.4004237288135593,0.5677966101694916,0.05084745762711865,0.3813559322033898
Company9,1.0,2011.0,3.0,306.0,16.0,11000000.0,13.0,0.0,2.0,0.0,2.0,50.0,0.0,21.0,500.0,13.0,48.0,256921.0,3.0,0.0,16.66666667,11.0,18.0,12.0,8.333333333,0.0,46.73202614,5.718954248,8.333333333,0.0,19.77124183,2.777777778,2.777777778,0.0,0.0,0.0,0.0,5.555555556,5.0,3469.0,2317.0,0.3877118644067797,0.0614406779661017,0.5635593220338984,0.6461864406779662,0.652542372881356,0.597457627118644,0.2542372881355932,0.15466101694915255,0.2754237288135593,0.6313559322033898,0.5466101694915254,0.9067796610169492,0.5190677966101694,0.4385593220338983,0.4872881355932203,0.2542372881355932,0.3855932203389831,0.2542372881355932,0.4067796610169492,0.6271186440677966,0.4470338983050847,0.6779661016949152,0.6949152542372882,0.0635593220338983,0.9427966101694916,0.7139830508474576,0.6694915254237288,0.923728813559322,0.6800847457627118,0.4576271186440678,0.836864406779661,0.11016949152542373,0.7097457627118644,0.8686440677966102,0.6504237288135594,0.1652542372881356,0.5741525423728814,0.5211864406779662,0.07838983050847458,0.3516949152542373,0.0211864406779661,0.5953389830508474,0.6377118644067796,0.2944915254237288,0.2690677966101695,0.6038135593220338,0.6122881355932204,0.6461864406779662,0.1864406779661017,0.3919491525423729,0.3177966101694915,0.4194915254237288,0.6991525423728814,0.5360169491525424,0.7436440677966102,0.586864406779661,0.19491525423728814,0.4661016949152542,0.6588983050847458,0.8050847457627118,0.6970338983050848,0.2521186440677966,0.3665254237288136,0.461864406779661,0.6038135593220338,0.4004237288135593,0.5677966101694916,0.09957627118644068,0.3813559322033898
Company10,1.0,2013.0,1.0,53.0,3.0,3000000.0,0.0,0.0,3.0,4.0,3.0,3.0,0.0,25.0,500.0,1.0,25.5,3639779.0,1.0,0.0,3.0,3.0,5.0,5.0,8.333333333,0.0,27.08333333,19.79166667,0.0,23.95833333,0.0,0.0,0.0,20.83333333,0.0,0.0,0.0,0.0,4.0,2603.0,2442.0,0.3877118644067797,0.012711864406779662,0.5635593220338984,0.6461864406779662,0.652542372881356,0.597457627118644,0.1716101694915254,0.15466101694915255,0.2754237288135593,0.6313559322033898,0.5466101694915254,0.9067796610169492,0.5190677966101694,0.4385593220338983,0.4894067796610169,0.2542372881355932,0.3855932203389831,0.3516949152542373,0.4067796610169492,0.6271186440677966,0.5021186440677966,0.6779661016949152,0.6949152542372882,0.9258474576271186,0.9427966101694916,0.7139830508474576,0.3199152542372881,0.923728813559322,0.6800847457627118,0.4576271186440678,0.836864406779661,0.8707627118644068,0.7097457627118644,0.8686440677966102,0.6504237288135594,0.5148305084745762,0.5741525423728814,0.5211864406779662,0.07838983050847458,0.07203389830508475,0.298728813559322,0.5953389830508474,0.6377118644067796,0.2944915254237288,0.2690677966101695,0.6038135593220338,0.6122881355932204,0.6461864406779662,0.1864406779661017,0.2563559322033898,0.1228813559322034,0.4025423728813559,0.6991525423728814,0.2521186440677966,0.7436440677966102,0.2245762711864407,0.6228813559322034,0.5338983050847458,0.6588983050847458,0.8050847457627118,0.1228813559322034,0.2521186440677966,0.4576271186440678,0.461864406779661,0.6038135593220338,0.19703389830508475,0.5677966101694916,0.163135593220339,0.08898305084745763
